Arnold Schwarzenegger	Legend of Conan (in development), The (????)	U	U	U
Arnold Schwarzenegger	Triplets (in development) (????)	U	U	U
Arnold Schwarzenegger	Terminator: Genesis (2015)	U	U	UK::26 June 2015
Arnold Schwarzenegger	Terminator, The (1984)	$6,400,000 (estimated)	$38,371,200 (USA) (27 January 1985);;$37,778,146 (USA) (20 January 1985);;$37,168,698 (USA) (13 January 1985);;$35,016,088 (USA) (6 January 1985);;$34,004,606 (USA) (25 December 1984);;$32,838,673 (USA) (16 December 1984);;$31,318,775 (USA) (9 December 1984);;$29,113,732 (USA) (2 December 1984);;$25,220,233 (USA) (25 November 1984);;$18,925,483 (USA) (18 November 1984);;$14,504,576 (USA) (11 November 1984);;$9,780,393 (USA) (4 November 1984);;$4,020,663 (USA) (28 October 1984);;$1,314,997 (UK) ( 1985);;$78,371,200 (Worldwide);;$40,000,000 (Worldwide) (except USA);;$436,055 (Germany) ( 1991);;$2,992,514 (Germany);;€1,928,803 (Spain) (20 December 2002);;SEK 2,690,178 (Sweden);;$2,556,459 (West Germany) ( 1985)	USA::26 October 1984
Arnold Schwarzenegger	Expendables 3, The (2014)	U	U	Belgium::13 August 2014
Arnold Schwarzenegger	Expendables, The (2010)	$80,000,000 (estimated)	$103,068,524 (USA) (21 October 2010);;$102,981,571 (USA) (17 October 2010);;$102,734,893 (USA) (10 October 2010);;$102,516,720 (USA) (4 October 2010);;$102,070,047 (USA) (26 September 2010);;$101,020,533 (USA) (19 September 2010);;$98,466,264 (USA) (12 September 2010);;$93,885,594 (USA) (5 September 2010);;$82,040,183 (USA) (29 August 2010);;$65,357,117 (USA) (22 August 2010);;$34,825,135 (USA) (15 August 2010);;$13,300,000 (USA) (13 August 2010);;£9,243,382 (UK) (12 September 2010);;£8,447,678 (UK) (5 September 2010);;£6,816,414 (UK) (29 August 2010);;£3,910,596 (UK) (22 August 2010);;$266,159,621 (Worldwide) (21 November 2010);;$274,470,394 (Worldwide) (21 October 2010);;$163,091,097 (Non-USA) (21 November 2010);;$13,547,449 (France) (26 September 2010);;PHP 72,941,940 (Philippines) (26 September 2010);;PHP 72,144,768 (Philippines) (12 September 2010);;PHP 70,502,839 (Philippines) (5 September 2010);;PHP 66,520,872 (Philippines) (29 August 2010);;PHP 54,081,766 (Philippines) (22 August 2010);;PHP 22,160,785 (Philippines) (15 August 2010);;RUR 425,004,716 (Russia) (12 September 2010);;RUR 417,630,888 (Russia) (5 September 2010);;RUR 393,699,089 (Russia) (29 August 2010);;RUR 326,496,283 (Russia) (22 August 2010);;RUR 173,294,754 (Russia) (15 August 2010)	USA::3 August 2010 (Los Angeles, California)
Arnold Schwarzenegger	Maggie (2014)	$8,000,000 (estimated)	U	USA::2014
Arnold Schwarzenegger	Sabotage (I) (2014)	$35,000,000 (estimated)	$10,499,968 (USA) (11 May 2014);;$10,471,688 (USA) (4 May 2014);;$10,431,768 (USA) (27 April 2014);;$10,353,443 (USA) (20 April 2014);;$10,069,569 (USA) (13 April 2014);;$8,858,343 (USA) (6 April 2014);;$5,272,444 (USA) (30 March 2014);;€64,376 (Netherlands) (21 May 2014)	USA::19 March 2014 (Los Angeles, California)
Arnold Schwarzenegger	Escape Plan (2013)	$50,000,000 (estimated)	$24,610,144 (USA) (8 December 2013);;$24,555,759 (USA) (1 December 2013);;$21,590,946 (USA) (3 November 2013);;$17,641,821 (USA) (27 October 2013);;$9,800,000 (USA) (20 October 2013);;$25,132,228 (USA);;£2,705,437 (UK) (17 November 2013);;£2,705,437 (UK) (10 November 2013);;£2,504,262 (UK) (3 November 2013);;£2,002,988 (UK) (27 October 2013);;$137,324,564 (Worldwide);;$112,192,336 (Non-USA);;BRL 4,327,973 (Brazil) (3 November 2013);;BRL 3,859,362 (Brazil) (27 October 2013);;BRL 3,075,964 (Brazil) (20 October 2013);;BRL 1,526,129 (Brazil) (13 October 2013);;BGL 361,804 (Bulgaria) (15 December 2013);;BGL 360,080 (Bulgaria) (8 December 2013);;BGL 353,836 (Bulgaria) (1 December 2013);;BGL 337,385 (Bulgaria) (24 November 2013);;BGL 305,724 (Bulgaria) (17 November 2013);;BGL 248,513 (Bulgaria) (10 November 2013);;BGL 172,267 (Bulgaria) (3 November 2013);;BGL 67,504 (Bulgaria) (27 October 2013);;$CAD1,076,608 (Canada) (17 November 2013);;$CAD973,888 (Canada) (10 November 2013);;$CAD839,028 (Canada) (3 November 2013);;$CAD643,217 (Canada) (27 October 2013);;HKD 13,062,341 (Hong Kong) (8 December 2013);;HKD 12,420,472 (Hong Kong) (1 December 2013);;HKD 10,876,829 (Hong Kong) (24 November 2013);;HKD 9,253,739 (Hong Kong) (17 November 2013);;HKD 3,448,608 (Hong Kong) (10 November 2013);;€240,187 (Ireland) (10 November 2013);;€225,150 (Ireland) (3 November 2013);;€1,236,844 (Italy) (24 November 2013);;€1,060,181 (Italy) (27 October 2013);;€562,954 (Italy) (20 October 2013);;MXN 2,628,522 (Mexico) (17 October 2013);;€1,354,755 (Netherlands) (1 December 2013);;€1,324,310 (Netherlands) (24 November 2013);;€1,251,374 (Netherlands) (17 November 2013);;€1,136,048 (Netherlands) (10 November 2013);;€962,306 (Netherlands) (3 November 2013);;€691,970 (Netherlands) (27 October 2013);;€300,170 (Netherlands) (20 October 2013);;€416,545 (Portugal) (15 December 2013);;€414,311 (Portugal) (8 December 2013);;€409,963 (Portugal) (4 December 2013);;€407,509 (Portugal) (1 December 2013);;€398,805 (Portugal) (27 November 2013);;€393,736 (Portugal) (24 November 2013);;€374,537 (Portugal) (20 November 2013);;€365,331 (Portugal) (17 November 2013);;€322,700 (Portugal) (13 November 2013);;€307,805 (Portugal) (10 November 2013);;€244,509 (Portugal) (6 November 2013);;€225,593 (Portugal) (3 November 2013);;€141,649 (Portugal) (30 October 2013);;ROL 1,478,999 (Romania) (23 December 2013);;ROL 1,473,031 (Romania) (15 December 2013);;ROL 1,459,754 (Romania) (8 December 2013);;ROL 1,431,549 (Romania) (1 December 2013);;ROL 1,376,056 (Romania) (24 November 2013);;ROL 1,253,533 (Romania) (17 November 2013);;ROL 1,067,981 (Romania) (10 November 2013);;ROL 797,315 (Romania) (3 November 2013);;RUR 221,534,332 (Russia) (17 November 2013);;RUR 219,383,644 (Russia) (10 November 2013);;RUR 211,310,745 (Russia) (3 November 2013);;RUR 184,122,853 (Russia) (27 October 2013);;RUR 101,223,683 (Russia) (20 October 2013);;THB 45,430,000 (Thailand) (17 November 2013);;THB 44,910,000 (Thailand) (10 November 2013);;THB 43,020,000 (Thailand) (3 November 2013);;THB 36,000,000 (Thailand) (27 October 2013);;THB 17,840,000 (Thailand) (20 October 2013);;RUR 31,691,157 (Ukraine) (17 November 2013);;RUR 31,330,899 (Ukraine) (10 November 2013);;RUR 30,061,004 (Ukraine) (3 November 2013);;RUR 24,777,683 (Ukraine) (27 October 2013);;RUR 13,759,393 (Ukraine) (20 October 2013)	USA::18 July 2013 (San Diego Comic-Con)
Arnold Schwarzenegger	Last Stand, The (2013)	$30,000,000 (estimated)	$12,026,670 (USA) (24 February 2013);;$11,964,266 (USA) (17 February 2013);;$11,904,835 (USA) (10 February 2013);;$11,704,454 (USA) (3 February 2013);;$10,684,507 (USA) (27 January 2013);;$6,300,000 (USA) (20 January 2013);;$12,050,299 (USA);;$37,183,273 (Worldwide) (30 June 2013);;$48,330,757 (Worldwide);;$36,280,458 (Non-USA);;AUD 1,261,331 (Australia) (3 March 2013);;AUD 667,952 (Australia) (24 February 2013);;€251,787 (Belgium) (3 February 2013);;€149,582 (Belgium) (27 January 2013);;BGL 77,986 (Bulgaria) (3 February 2013);;BGL 54,077 (Bulgaria) (27 January 2013);;BGL 33,678 (Bulgaria) (20 January 2013);;HKD 2,870,799 (Hong Kong) (27 January 2013);;HKD 1,558,520 (Hong Kong) (20 January 2013);;€79,448 (Ireland) (3 February 2013);;€50,002 (Ireland) (27 January 2013);;€451,401 (Italy) (10 February 2013);;€134,097 (Netherlands) (10 March 2013);;PHP 12,292,266 (Philippines) (3 February 2013);;PHP 11,888,179 (Philippines) (27 January 2013);;PHP 6,480,420 (Philippines) (20 January 2013);;RON 534,647 (Romania) (12 January 2014);;RON 534,566 (Romania) (5 January 2014);;RON 499,538 (Romania) (10 February 2013);;RON 427,990 (Romania) (3 February 2013);;RON 244,151 (Romania) (27 January 2013);;RUR 84,561,488 (Russia) (10 March 2013);;RUR 79,313,141 (Russia) (3 March 2013);;RUR 50,746,512 (Russia) (24 February 2013);;THB 16,200,000 (Thailand) (3 February 2013);;THB 14,580,000 (Thailand) (27 January 2013);;THB 8,530,000 (Thailand) (20 January 2013);;TRL 260,248 (Turkey) (9 June 2013);;TRL 98,077 (Turkey) (21 April 2013);;RUR 7,295,989 (Ukraine) (31 March 2013);;RUR 7,284,459 (Ukraine) (24 March 2013);;RUR 7,176,106 (Ukraine) (17 March 2013);;RUR 7,077,470 (Ukraine) (10 March 2013);;RUR 6,344,632 (Ukraine) (3 March 2013)	Hong Kong::12 January 2013 (limited)
